datetime,close
2025-09-03,235.705
2025-09-02,229.72
2025-08-29,232.14
2025-08-28,232.56
2025-08-27,230.49
2025-08-26,229.31
2025-08-25,227.16
2025-08-22,227.76
2025-08-21,224.9
2025-08-20,226.01
2025-08-19,230.56
2025-08-18,230.89
2025-08-15,231.59
2025-08-14,232.78
2025-08-13,233.33
2025-08-12,229.65
2025-08-11,227.18
2025-08-08,229.35
2025-08-07,220.03
2025-08-06,213.25
2025-08-05,202.92
2025-08-04,203.35
2025-08-01,202.38
2025-07-31,207.57
2025-07-30,209.05
2025-07-29,211.27
2025-07-28,214.05
2025-07-25,213.88
2025-07-24,213.76
2025-07-23,214.15
2025-07-22,214.4
2025-07-21,212.48
2025-07-18,211.18
2025-07-17,210.02
2025-07-16,210.16
2025-07-15,209.11
2025-07-14,208.62
2025-07-11,211.16
2025-07-10,212.41
2025-07-09,211.14
2025-07-08,210.01
2025-07-07,209.95
2025-07-03,213.55
2025-07-02,212.44
2025-07-01,207.82
2025-06-30,205.17
2025-06-27,201.08
2025-06-26,201
2025-06-25,201.56
2025-06-24,200.3
2025-06-23,201.5
2025-06-20,201
2025-06-18,196.58
2025-06-17,195.64
2025-06-16,198.42
2025-06-13,196.45
2025-06-12,199.2
2025-06-11,198.78
2025-06-10,202.67
2025-06-09,201.45
2025-06-06,203.92
2025-06-05,200.63
2025-06-04,202.82
2025-06-03,203.27
2025-06-02,201.7
2025-05-30,200.85
2025-05-29,199.95
2025-05-28,200.42
2025-05-27,200.21
2025-05-23,195.27
2025-05-22,201.36
2025-05-21,202.09
2025-05-20,206.86
2025-05-19,208.78
2025-05-16,211.26
2025-05-15,211.45
2025-05-14,212.33
2025-05-13,212.93
2025-05-12,210.79
2025-05-09,198.53
2025-05-08,197.49
2025-05-07,196.25
2025-05-06,198.51
2025-05-05,198.89
2025-05-02,205.35
2025-05-01,213.32
2025-04-30,212.5
2025-04-29,211.21
2025-04-28,210.14
2025-04-25,209.28
2025-04-24,208.37
2025-04-23,204.6
2025-04-22,199.74
2025-04-21,193.16
2025-04-17,196.98
2025-04-16,194.27
2025-04-15,202.14
2025-04-14,202.52
2025-04-11,198.15
2025-04-10,190.42
2025-04-09,198.85
2025-04-08,172.42
2025-04-07,181.46
2025-04-04,188.38
2025-04-03,203.19
2025-04-02,223.89
2025-04-01,223.19
2025-03-31,222.13
2025-03-28,217.9
2025-03-27,223.85
2025-03-26,221.53
2025-03-25,223.75
2025-03-24,220.73
2025-03-21,218.27
2025-03-20,214.1
2025-03-19,215.24
2025-03-18,212.69
2025-03-17,214
2025-03-14,213.49
2025-03-13,209.68
2025-03-12,216.98
2025-03-11,220.84
2025-03-10,227.48
2025-03-07,239.07
2025-03-06,235.33
2025-03-05,235.74
2025-03-04,235.93
2025-03-03,238.03
2025-02-28,241.84
2025-02-27,237.3
2025-02-26,240.36
2025-02-25,247.04
2025-02-24,247.1
2025-02-21,245.55
2025-02-20,245.83
2025-02-19,244.87
2025-02-18,244.47
2025-02-14,244.6
2025-02-13,241.53
2025-02-12,236.87
2025-02-11,232.62
2025-02-10,227.65
2025-02-07,227.63
2025-02-06,233.22
2025-02-05,232.47
2025-02-04,232.8
2025-02-03,228.01
2025-01-31,236
2025-01-30,237.59
2025-01-29,239.36
2025-01-28,238.26
2025-01-27,229.86
2025-01-24,222.78
2025-01-23,223.66
2025-01-22,223.83
2025-01-21,222.64
2025-01-17,229.98
2025-01-16,228.26
2025-01-15,237.87
2025-01-14,233.28
2025-01-13,234.4
2025-01-10,236.85
2025-01-08,242.7
2025-01-07,242.21
2025-01-06,245
2025-01-03,243.36
2025-01-02,243.85
2024-12-31,250.42
